"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"CCNA1",23,50,48,24,12,33,26,46,35,25,18,41,36,27,24,6,6,9,25
"PYCARD",39,69,65,42,15,43,32,55,47,38,23,39,54,37,34,15,12,19,26
"PRKDC",86,145,177,72,26,69,48,94,65,83,67,78,62,44,48,14,14,22,33
"TNFSF11",26,51,41,23,13,30,21,39,29,22,19,31,41,26,25,7,7,11,22
"CCL26",18,37,43,19,7,27,24,38,30,17,15,35,31,28,20,6,6,10,15
"CCR5",33,58,57,33,14,48,34,48,44,26,20,51,58,38,34,15,14,29,30
"IFNB1",26,42,51,22,14,34,22,37,33,23,17,39,30,27,22,5,4,10,16
"FAAP24",31,61,57,35,20,39,34,55,45,28,23,44,48,33,33,10,7,12,29
"TNC",75,209,73,46,16,100,90,63,36,23,15,40,45,34,119,11,8,16,62
"ZNF205",26,54,47,34,13,31,38,42,32,26,19,40,39,28,29,10,8,11,31
"GZMA",23,43,45,23,15,42,31,44,30,24,16,37,39,30,22,11,9,32,21
"IL12RB1",30,50,55,31,17,39,41,42,45,31,29,34,39,23,34,13,11,19,34
"ATRX",79,107,131,76,28,75,53,87,62,58,61,70,59,44,52,19,14,35,50
"NAT1",36,49,63,29,16,32,30,48,38,28,24,45,45,37,29,13,9,13,26
"GZMH",23,52,50,22,11,39,24,40,32,25,20,38,40,30,29,8,9,13,26
"MAGEC1",23,55,54,23,14,36,32,51,38,28,20,48,46,36,30,9,9,14,25
"RASA4",44,62,64,40,23,56,44,59,52,54,42,68,78,50,39,20,13,31,33
"FOXM1",34,56,67,63,11,37,30,53,41,31,28,40,40,27,33,10,8,16,20
"HPRT1",38,56,63,28,12,42,39,55,40,39,35,56,52,37,30,9,7,13,20
"CPA3",24,33,37,22,11,23,22,36,26,22,18,35,31,23,24,9,7,10,20
"ITGA5",69,160,76,51,35,60,39,73,57,93,70,80,172,121,244,16,14,29,43
"CKLF",50,71,78,50,20,60,39,62,48,44,43,55,108,81,50,22,28,34,36
"CD200",75,106,109,45,16,81,48,115,103,82,62,98,56,36,47,17,11,19,34
"CCL19",32,57,45,21,12,68,55,38,27,24,19,35,33,24,25,7,6,10,17
"HDAC11",35,61,64,44,22,39,31,53,37,34,26,54,52,37,32,10,10,11,29
"ICAM1",60,100,94,47,22,59,43,112,93,88,75,77,64,52,52,25,35,50,49
"TP53",89,157,209,92,57,81,52,102,82,52,48,65,72,42,46,13,14,25,38
"HCK",29,44,52,27,17,41,34,42,38,29,20,44,67,41,31,12,11,22,22
"DEFB1",27,41,47,22,14,36,23,39,31,26,17,41,44,24,31,8,5,12,23
"HSPA6",49,63,69,58,34,60,40,69,49,40,33,83,72,46,55,26,34,43,41
"IFNA1",29,33,29,23,12,27,31,32,29,14,11,27,39,25,25,11,5,7,13
"PRKCE",38,63,60,52,19,39,31,47,36,34,20,51,47,35,34,9,7,12,21
"TPM4",386,605,790,282,85,421,240,392,315,274,596,243,327,236,485,117,122,198,204
"TICAM1",32,53,61,35,16,34,28,49,40,34,30,48,45,36,37,7,9,13,23
"LAMP2",25,41,43,22,11,28,19,37,30,19,17,29,35,27,21,6,5,10,14
"CD180",30,59,53,33,13,38,31,51,39,29,23,44,49,36,33,13,11,16,21
"SKP1",33,58,61,30,21,35,31,57,37,29,24,45,46,32,40,9,8,16,26
"ADGRE1",28,45,48,21,14,34,27,47,33,26,14,40,46,27,23,7,7,10,18
"RAD52",35,67,72,49,19,46,40,55,51,46,36,62,46,35,39,9,8,17,29
"FANCA",31,57,60,46,11,39,31,51,38,35,29,50,42,33,42,11,11,17,21
"BMP7",23,46,36,24,15,28,22,39,40,20,15,40,34,25,27,8,7,10,16
"EIF2B4",46,72,80,53,24,41,32,56,42,43,42,52,45,35,36,7,9,17,29
"SLC25A1",72,120,129,73,28,51,42,73,53,54,65,73,75,55,56,16,15,27,42
"IL1A",30,55,56,36,18,36,30,49,38,29,22,42,48,31,34,8,8,10,20
"RGMB",51,84,75,42,22,42,31,55,40,32,25,51,50,32,45,12,13,19,34
"NANOG",32,58,57,42,19,49,33,67,45,29,24,49,48,33,27,13,11,17,30
"TBK1",44,70,75,35,12,46,36,68,45,39,35,58,44,33,35,12,13,16,24
"PDGFB",33,54,65,34,15,41,32,43,40,35,23,48,58,45,61,9,11,17,26
"CES3",28,42,47,25,12,33,28,41,32,24,20,38,42,28,29,9,7,9,25
"ATOX1",60,105,124,57,21,79,59,85,66,45,37,56,76,56,76,25,19,43,61
"PSEN2",33,63,64,44,23,39,31,53,38,46,33,64,53,29,27,10,6,14,23
