"gene_symbol","T41231_008","T41231_012","T41231_013","T22568_001","T22568_002","T6445_001","T6445_002","T6445_003","T6445_004","T226_002","T226_003","T226_004","T14908_002","T14908_006","T2158_013","T15959_002","T15959_003","T15959_004","T15959_005"
"AKT1",84,110,147,111,43,63,43,71,50,76,94,88,77,56,81,24,19,29,41
"IL2",29,44,50,29,9,35,30,43,37,28,21,44,40,29,33,9,6,14,20
"TIE1",23,44,40,26,12,41,29,45,30,26,20,35,38,24,44,10,8,15,27
"CACNA1H",47,80,83,37,19,42,30,65,56,25,21,39,38,24,28,7,5,9,22
"WNT11",25,46,45,46,15,29,23,36,35,23,15,38,32,25,22,7,6,8,21
"RAD50",46,89,100,41,20,49,36,66,51,38,29,61,57,35,39,18,16,19,32
"CAPN2",127,186,220,170,64,91,59,191,170,189,115,174,228,190,100,54,45,68,79
"MTOR",46,74,85,58,22,36,32,54,37,44,30,56,54,35,43,13,13,21,32
"CXCL11",20,50,45,25,12,36,30,40,31,26,17,34,36,28,27,11,7,16,30
"NF1",64,100,129,69,33,70,56,89,64,75,56,104,59,43,47,16,14,23,31
"TRAF3",43,66,86,48,17,53,38,54,39,37,31,54,54,34,37,9,10,16,29
"FSTL3",45,98,64,135,42,49,37,100,89,69,222,78,94,80,65,33,29,46,57
"CD81",477,705,1001,325,112,234,151,439,300,355,386,390,227,155,335,85,87,148,156
"PLD1",25,55,48,22,10,34,30,39,35,21,20,38,44,32,27,7,5,12,19
"U2AF1",85,129,176,116,36,62,59,86,79,86,94,101,79,58,71,18,21,28,53
"IRF7",41,89,113,66,30,33,29,57,80,43,41,49,57,59,42,18,11,28,24
"HSPB1",116,246,270,332,90,128,83,248,247,290,366,329,231,165,347,124,112,185,231
"MET",60,92,168,32,16,34,25,62,41,111,37,119,54,39,34,11,14,16,28
"S100A9",31,48,45,31,14,67,50,52,46,43,22,56,215,79,99,12,18,27,27
"AKR1C4",25,42,44,27,8,30,26,42,29,23,16,34,32,25,25,6,4,11,17
"NLRP3",36,64,62,36,16,38,29,49,42,25,25,49,46,40,35,11,12,16,37
"CXXC4",18,41,39,21,7,26,21,31,26,20,15,29,27,21,24,7,5,7,14
"PKM",264,565,295,450,149,110,75,284,219,258,262,224,389,379,311,72,56,116,142
"SELP",28,43,46,27,14,36,25,57,42,24,18,39,39,29,24,7,6,11,24
"PPP3CA",58,73,109,32,19,39,29,63,41,27,32,43,82,49,38,12,12,21,32
"NRP1",93,181,175,242,64,184,124,77,67,61,48,78,158,118,149,17,17,24,38
"HDAC5",36,50,66,42,21,45,31,50,42,37,38,57,55,31,31,10,11,15,23
"ZIC2",32,46,59,27,16,27,25,40,29,24,17,42,35,25,23,8,6,13,26
"MMP7",25,46,45,28,13,33,24,42,28,27,21,36,47,29,27,6,7,8,17
"AREG",31,51,54,29,16,34,29,49,35,26,21,49,291,175,48,8,8,16,25
"JADE1",28,50,53,30,17,35,29,53,42,37,34,51,46,30,33,8,8,14,21
"ELK1",51,94,91,52,22,41,30,66,55,43,37,62,54,31,36,13,10,20,31
"LOXL2",93,221,64,154,50,63,33,65,47,66,71,49,51,42,283,20,15,25,27
"SYT17",38,57,82,78,30,37,33,57,44,27,24,44,39,39,27,13,13,19,27
"IL26",29,50,49,33,14,33,31,47,35,27,20,43,43,28,25,8,7,9,22
"FADD",30,69,70,56,26,45,34,64,50,47,39,62,60,42,39,9,9,23,29
"CACNA1C",35,54,59,54,17,45,35,49,36,22,14,39,37,25,32,10,11,15,26
"NUPR1",25,55,62,32,14,47,31,42,43,29,22,40,35,24,29,12,6,20,85
"KEAP1",33,54,70,34,18,37,27,53,45,38,39,50,46,33,36,11,10,17,22
"BRD7",36,64,75,45,19,46,32,55,49,40,36,57,52,34,26,12,13,17,25
"CD68",90,81,115,52,37,103,97,64,60,60,49,74,161,94,112,59,61,121,62
"SERPING1",201,346,568,125,88,194,120,210,259,420,296,757,230,155,151,147,157,200,153
"IL25",29,45,44,24,13,29,25,38,30,23,19,40,31,27,23,8,7,9,17
"DTX3L",49,81,117,40,18,52,40,63,71,45,43,64,60,55,34,16,16,33,28
"MNAT1",36,50,63,41,19,35,25,43,32,33,26,44,45,32,30,10,9,11,30
"UTY",52,78,117,43,22,35,27,41,36,49,41,72,52,42,35,8,10,19,21
"BCL2L1",52,80,95,76,35,58,44,83,64,96,66,90,101,71,49,17,17,32,36
"VCAM1",33,61,53,29,14,43,40,48,35,118,27,84,51,36,81,22,13,27,34
"CGAS",32,55,60,28,17,45,32,58,37,31,23,41,51,35,34,8,9,18,22
"FGF5",31,44,49,26,11,36,29,46,40,38,20,42,44,31,35,7,7,11,20
"HLA-F",193,318,459,180,62,252,185,199,144,124,101,142,232,217,185,125,88,227,123
"TTR",31,51,54,26,17,32,24,46,36,23,18,42,41,29,30,10,7,14,29
"SIGLEC8",27,52,51,27,12,30,29,39,30,24,17,45,38,34,27,8,6,12,28
"NSD3",52,82,101,61,25,53,38,72,53,53,33,71,55,35,35,12,8,19,27
"NDUFB10",66,100,126,56,22,64,42,79,61,81,77,96,81,62,63,17,17,33,46
"IKBKB",50,76,102,36,18,42,32,57,47,50,35,67,58,43,35,11,14,20,25
"DNMT1",44,63,86,55,18,78,53,66,52,59,43,59,54,41,50,16,16,24,37
"AICDA",20,50,48,31,12,39,28,40,33,23,18,34,35,26,26,7,7,11,20
"DKK2",24,38,41,25,12,36,26,38,30,24,15,35,30,25,28,5,6,10,20
"HLA-G",30,50,52,31,17,45,34,52,48,23,20,43,47,32,30,7,9,15,30
"PURA",33,57,71,39,14,40,31,55,40,25,25,45,51,36,34,9,9,14,23
"COL11A1",103,114,130,815,104,38,31,105,63,25,49,41,54,32,38,57,28,69,40
"CARD9",24,46,50,24,12,32,30,43,31,25,19,34,45,30,24,8,9,11,26
"WNT3",30,51,54,38,15,38,30,46,35,41,25,57,40,33,31,11,9,16,28
"AXIN2",44,65,84,58,26,39,30,60,47,27,22,46,43,28,23,12,11,23,20
"RFC4",43,68,82,46,21,58,36,58,51,32,35,57,42,34,41,11,9,20,36
"TPTE",23,57,56,31,17,36,40,47,45,25,20,47,45,29,27,5,9,13,21
"SOST",28,51,45,25,14,28,21,46,35,23,19,38,32,20,24,9,6,12,22
"GPX4",51,70,100,37,20,56,44,89,69,105,76,134,141,90,46,33,33,57,67
"NUP107",52,79,98,46,22,47,36,67,63,51,44,64,54,33,36,12,11,22,30
"FANCC",31,54,59,32,15,40,30,53,39,31,26,48,43,36,29,8,6,12,23
"IL22RA2",25,51,45,26,12,32,27,42,35,24,19,42,39,30,28,8,5,12,19
"TXK",28,55,49,30,13,35,33,44,34,27,17,51,47,34,32,8,6,13,28
"PIK3R1",45,60,81,33,16,40,26,44,42,33,21,48,49,32,27,11,12,24,32
"IFIT3",33,66,58,30,15,64,42,61,83,40,23,59,50,88,31,18,16,25,27
"PFKFB3",54,70,63,41,22,38,34,72,62,30,27,37,50,28,37,12,14,21,25
"ATP5F1D",67,98,154,38,21,75,44,81,56,91,89,103,86,56,81,24,21,43,57
"NECTIN1",52,110,89,59,26,45,37,59,52,41,36,61,65,42,43,9,8,13,32
"CDK4",50,75,93,45,18,59,44,85,70,70,58,78,63,43,45,15,12,22,30
"CCL15",38,43,60,71,38,60,46,75,66,28,24,49,63,40,37,20,22,56,61
"CASP1",31,49,63,34,15,57,39,57,44,30,23,46,59,33,35,15,16,37,37
"TNFSF10",31,53,57,28,15,69,42,46,45,29,21,34,68,61,44,16,15,33,34
"PLAT",43,69,62,39,19,50,37,60,85,98,33,88,357,367,105,16,19,28,39
"MCL1",139,180,237,162,71,204,134,170,171,207,205,224,186,128,82,64,54,103,74
"RICTOR",53,78,97,49,27,52,42,75,63,43,36,58,56,47,42,15,13,19,28
"APOL6",40,68,81,33,14,65,42,56,36,42,25,60,59,62,35,23,21,40,30
"TNFSF4",31,49,44,25,13,37,26,43,33,25,19,40,48,27,43,17,23,35,33
"APOA1",33,55,58,26,13,36,33,52,38,29,20,46,51,30,27,6,7,11,23
"FCGRT",94,115,160,71,39,117,100,78,63,102,57,145,130,73,100,32,30,51,65
"LGALS3",48,90,99,32,24,41,29,66,56,49,26,75,88,68,43,17,16,29,43
"COL1A2",3062,2560,2175,4586,853,1253,704,225,253,700,2701,499,901,561,3632,927,437,1367,2301
"SMAD3",68,102,148,45,22,48,30,86,63,52,37,61,55,45,33,11,9,18,30
"MLF1",31,53,60,33,14,32,30,49,40,30,26,49,37,30,29,9,7,15,25
"CDKN1A",34,59,59,33,19,71,45,83,62,137,131,133,87,62,56,17,11,24,41
"SH2B2",41,59,67,39,18,46,37,56,46,33,31,53,56,30,35,10,13,16,24
"C1R",217,383,506,258,164,444,259,481,397,329,420,515,121,118,171,128,102,169,185
"MERTK",41,72,74,37,15,44,41,52,43,44,31,61,52,35,49,16,14,19,28
"DLL3",26,46,46,21,12,30,26,40,32,24,17,35,36,30,27,6,7,10,23
"MRE11",38,67,71,33,19,45,29,54,48,33,29,48,47,29,36,11,10,14,26
"CD8B",32,50,49,31,15,40,31,48,42,28,21,46,50,30,25,9,11,17,21
"MPO",32,54,54,31,19,39,33,47,41,32,22,49,44,31,34,8,8,12,24
"TGFB2",430,453,745,153,28,49,31,429,392,26,42,31,36,35,31,10,15,15,24
"PMEL",25,45,51,22,12,41,30,45,35,30,23,40,40,29,27,5,6,7,24
"BMI1",31,53,47,27,11,38,29,40,32,41,27,39,35,30,22,8,7,20,23
"TNFSF14",45,111,235,30,18,33,27,71,31,29,20,47,38,26,27,8,6,15,26
"PLA2G4E",26,43,48,25,13,25,26,37,31,22,17,30,37,20,27,5,7,9,18
"PRKACG",23,48,44,28,13,32,29,49,33,19,19,45,43,34,27,10,5,11,22
"ZBTB32",27,45,46,26,14,32,22,40,34,22,17,41,32,27,27,6,6,8,23
"MSH6",52,85,117,57,25,56,40,75,62,53,45,59,50,40,43,13,13,19,38
"MASP1",27,50,49,30,13,40,25,45,38,30,21,41,41,30,31,8,8,10,23
"ISG20",34,57,55,28,15,37,29,52,34,27,20,45,40,34,30,7,10,10,19
"TNFSF12",27,53,57,32,17,48,39,52,40,36,26,62,68,38,34,13,14,26,30
"POLR2A",95,148,179,96,34,64,44,87,70,52,47,65,61,52,59,21,17,30,33
"CCL8",26,46,40,17,14,28,25,34,39,17,16,31,34,23,27,7,3,10,18
"MBNL3",30,59,61,32,10,35,25,57,35,31,22,41,42,28,30,7,7,13,23
"BLVRA",37,56,64,35,20,41,35,45,34,45,26,59,45,36,41,10,11,18,33
"FGF21",25,42,46,26,12,31,29,46,36,20,20,39,43,27,28,8,7,12,23
"WNT2",27,47,47,29,16,36,23,47,36,26,69,44,45,32,29,14,12,17,30
"CRABP2",287,386,262,180,28,243,102,314,300,162,60,155,50,53,90,67,105,154,200
"CLEC6A",30,55,49,27,14,52,24,42,30,27,19,40,37,28,26,7,5,11,21
"LIG4",33,50,54,29,15,31,29,36,33,26,19,35,35,32,30,7,6,12,16
"CDH2",80,111,141,37,14,29,21,62,46,49,30,46,43,37,53,19,14,21,39
"COL5A2",267,385,222,86,34,340,202,102,83,119,285,91,110,68,332,92,84,158,186
"CXCR1",26,39,44,23,12,34,22,37,33,22,15,39,33,28,31,7,5,10,21
"OSM",28,49,45,27,14,27,28,43,37,26,20,46,44,33,25,6,6,13,19
"ELANE",22,59,48,31,16,36,28,43,30,29,20,43,32,32,32,14,5,9,21
"PIN1",26,35,33,19,14,22,16,36,18,20,17,39,32,21,13,6,5,12,8
"ACY1",29,50,55,32,13,34,26,43,36,51,39,60,37,33,34,12,8,17,22
"IFI35",41,73,97,42,21,54,41,72,72,37,35,69,65,52,36,18,11,28,33
"CXCL14",25,50,39,158,24,38,28,125,52,42,20,40,40,37,26,8,9,11,36
"SPACA3",23,43,45,24,13,33,27,44,31,23,22,39,35,31,27,7,3,6,18
"BAIAP3",30,50,54,25,12,45,33,44,30,23,16,38,33,28,32,9,8,13,21
"APP",650,779,813,1058,405,319,186,371,304,374,369,379,156,145,227,63,72,114,204
"SKP2",45,64,102,70,20,46,34,58,53,83,67,68,46,34,37,9,9,20,29
"NDUFS7",35,67,71,36,18,46,29,56,44,43,41,63,62,40,37,12,17,24,33
"LYN",44,63,61,37,16,56,46,53,45,38,25,58,62,43,39,13,17,27,25
"HDAC1",47,68,82,54,24,49,33,61,39,37,24,51,69,56,48,14,13,23,36
"BCL6B",26,45,44,22,10,32,24,41,31,28,17,42,41,29,32,9,6,12,19
"SAMSN1",34,54,61,29,16,46,38,41,39,31,18,39,47,37,34,11,9,25,22
"ESR1",28,47,50,28,12,36,28,47,35,29,20,42,44,33,30,9,7,15,34
"MED12",43,70,84,54,26,50,35,60,44,51,37,62,45,40,39,9,11,22,28
"IL17RB",30,46,44,28,14,34,20,42,30,25,22,43,36,30,27,7,5,10,18
"APOC3",29,55,51,30,17,44,26,55,38,30,22,48,49,29,26,10,8,15,26
"CLEC4E",31,51,53,31,18,33,31,44,34,27,21,44,43,27,29,12,10,11,30
"BRAF",24,42,43,25,13,33,26,40,31,27,19,37,40,30,25,10,8,13,31
"BAD",43,64,73,41,17,43,27,67,41,44,49,66,45,31,32,13,11,15,22
"HMGB1",51,71,109,62,25,77,56,76,62,37,26,56,63,40,34,10,13,20,29
"CD24",47,68,71,33,18,36,31,42,36,28,23,43,42,32,25,12,6,14,28
"CCNE1",31,56,59,26,15,38,31,48,33,36,24,48,47,31,34,11,8,17,35
"FOLH1",30,51,50,26,13,36,25,45,38,22,18,43,40,28,28,8,7,11,21
"IFITM2",249,358,692,154,59,132,93,246,208,368,489,508,146,126,287,53,56,97,115
"KLF4",31,42,44,25,10,28,23,46,36,39,26,53,52,38,21,10,7,16,20
"TNFRSF1A",106,155,221,108,58,103,72,145,104,152,142,181,146,106,107,30,32,52,64
"MAP3K7",61,99,115,63,22,55,42,74,67,65,55,86,65,45,42,15,11,18,33
"HK2",39,74,52,36,24,34,24,94,103,40,30,52,47,43,41,10,7,12,24
"SOD1",76,126,189,108,32,109,70,147,115,140,100,148,111,69,94,33,33,61,79
"PCK2",32,56,67,30,16,36,36,48,35,36,38,45,52,35,40,10,11,14,26
"GLUL",22,49,45,21,13,34,24,41,33,21,16,37,33,27,26,10,7,9,18
"SELENOK",25,50,56,30,13,38,26,48,33,28,26,45,50,33,30,10,10,12,34
"FGF11",34,57,54,34,19,36,27,49,36,25,23,44,43,30,30,7,9,13,25
"PNOC",29,49,49,29,11,30,26,46,41,23,18,44,42,27,21,8,6,12,21
"CCNB3",25,43,46,27,13,27,22,37,32,22,13,38,33,24,26,5,7,10,19
"FGF10",27,40,41,30,16,31,27,45,39,29,15,42,38,25,26,12,12,8,28
"TNFRSF17",27,55,47,28,12,35,25,44,31,27,20,45,36,30,28,6,8,12,21
"GPX1",102,118,198,143,61,106,79,112,81,208,207,247,188,114,134,77,87,121,105
"JAM3",39,60,64,33,14,54,41,42,30,29,19,41,44,25,35,10,11,16,28
"KMT2D",54,94,108,76,40,71,50,73,62,68,67,80,73,49,48,17,17,34,31
"MCAM",60,80,152,95,26,171,97,68,53,42,56,70,71,51,245,9,10,21,49
"NRAS",34,56,69,86,29,46,36,61,39,41,46,54,62,42,45,13,10,18,29
"CACNG6",25,42,45,27,14,26,24,44,29,20,20,38,41,26,23,10,7,10,29
"POU5F1",26,52,48,24,13,35,22,43,32,29,22,38,38,33,23,7,8,8,32
"HLA-DRB5",33,32,55,28,9,19,25,38,31,43,35,57,36,27,54,11,12,16,22
"MAF",82,119,189,60,28,55,42,96,71,77,50,99,99,75,55,21,18,29,39
"COL6A6",22,37,41,27,11,32,21,33,30,21,17,35,30,26,24,7,8,13,29
"FZD3",32,54,57,23,12,36,26,47,33,22,16,39,42,30,26,6,7,10,21
"RASGRP1",22,53,45,30,14,36,27,47,33,24,24,47,38,28,27,9,8,16,19
"ACVR1B",45,62,70,37,22,53,39,61,43,36,33,55,65,40,35,12,10,16,21
"HSD17B8",29,50,64,31,17,31,32,43,38,27,24,50,44,33,29,11,9,11,29
"ABCB1",33,53,53,23,15,33,29,46,36,30,18,45,40,32,24,7,7,13,18
"CXXC5",29,62,55,100,32,43,29,56,39,28,26,44,55,34,33,10,7,12,25
"KLRB1",25,42,36,22,12,34,24,35,29,23,19,33,30,24,23,7,6,12,13
"TBL1XR1",87,119,205,77,31,62,52,92,77,221,158,272,71,53,56,27,30,46,42
"HGF",29,53,55,29,11,41,30,54,36,1333,393,1162,84,49,31,14,14,25,36
"ITGA9",31,37,43,29,12,40,30,34,24,26,23,39,42,24,26,6,5,9,20
"IL12A",22,42,44,30,13,34,21,42,28,25,20,38,30,24,28,9,9,10,23
"CD3E",29,52,48,23,13,52,36,39,38,24,20,42,44,32,24,13,8,31,29
"LEFTY2",24,42,32,23,13,30,23,33,30,21,15,32,30,25,23,5,7,11,17
"COL4A4",28,51,41,30,13,37,23,44,33,24,20,39,35,31,23,6,7,8,22
"SIGIRR",27,49,46,29,17,35,34,50,42,29,22,41,54,41,30,10,11,17,24
"MAP2K1",53,77,93,51,30,63,47,63,62,48,42,65,73,50,52,13,13,26,36
"CSF3R",35,45,52,29,14,43,40,55,44,35,26,47,85,39,37,17,15,27,27
"FST",22,46,41,25,16,29,21,42,26,24,46,31,35,26,22,11,9,16,27
"TSPAN7",35,57,77,28,15,35,29,81,52,27,22,44,37,30,30,11,7,15,22
"GPR160",29,45,43,25,12,27,26,36,33,21,19,38,42,26,23,6,6,14,15
"SYK",30,53,58,27,13,36,30,48,37,31,24,45,62,39,32,14,11,23,30
"FGF14",25,44,45,29,15,33,26,40,32,25,16,38,40,29,28,8,7,10,17
"ERCC6",31,54,59,30,14,44,28,58,37,33,23,46,49,32,34,10,11,20,27
"COL11A2",35,61,66,85,19,39,25,45,38,28,28,41,44,30,35,10,7,11,27
"NKX3-1",31,50,54,26,13,35,28,54,33,16,10,33,46,27,26,8,9,13,21
"SMARCB1",53,86,106,43,19,44,31,52,43,37,38,44,56,42,44,13,9,25,24
"CCND2",63,84,106,346,75,121,77,49,43,69,30,101,52,36,36,18,22,38,48
"TCL1A",29,50,49,26,11,31,32,43,33,26,21,32,38,25,27,8,9,10,26
"ADM",30,65,47,34,28,37,27,50,63,34,21,46,42,26,37,9,7,16,23
"CD300A",37,59,48,26,19,35,30,42,36,26,19,40,47,30,34,10,8,14,25
"IL1RL2",32,60,61,34,18,37,37,54,45,35,22,50,51,34,34,9,9,9,26
"FGF20",30,49,55,24,14,33,27,48,33,22,18,38,38,33,29,8,8,12,27
"HMGA1",42,55,73,43,26,43,34,54,41,40,34,53,116,88,36,10,8,16,25
"IFIT2",27,43,46,26,11,38,23,40,47,31,17,39,42,48,24,9,10,16,18
"CD4",58,70,86,44,23,78,75,62,51,42,28,56,92,73,56,31,32,63,53
"IL6",24,47,40,21,13,28,29,40,30,27,20,32,33,26,49,7,7,12,21
"PAX8",23,49,46,30,18,32,28,42,31,26,20,40,39,24,24,5,7,14,24
"MYB",28,52,50,30,17,32,25,44,46,25,20,42,63,34,28,8,9,14,24
"RAD51C",37,67,78,42,20,47,38,59,46,40,33,48,50,35,40,10,11,16,33
"OAS3",48,72,72,55,18,41,38,62,99,32,26,48,46,55,34,13,12,19,27
"LAMA3",29,46,47,26,15,40,31,47,41,23,21,40,50,36,25,8,7,10,20
"TCF7",34,57,56,30,13,45,25,41,43,26,20,39,47,31,28,11,8,18,20
"ROBO4",29,44,55,30,13,39,35,52,35,26,19,42,47,40,56,9,8,15,22
"SERPINB5",31,54,58,28,13,31,28,45,37,29,17,41,54,46,29,8,6,8,22
"IL24",28,48,48,31,15,35,30,41,35,31,18,43,44,29,24,11,7,15,27
"IL10RA",46,53,64,31,22,60,46,53,38,32,21,53,57,40,36,21,20,42,31
"ADH6",25,42,44,25,16,35,31,44,33,29,17,39,42,26,27,7,7,11,25
"FGFR3",26,41,45,27,12,32,39,43,36,25,17,31,38,30,27,7,4,10,12
"ITGB2",70,74,84,58,51,77,60,69,55,70,45,80,107,59,76,36,36,87,50
"HLA-DRA",216,129,387,91,31,344,317,132,71,149,94,159,554,404,83,310,388,711,332
"RIPK3",38,60,68,36,23,43,33,45,38,29,24,44,49,32,32,13,8,19,27
"CCNB1",36,61,92,63,12,40,29,59,45,29,27,43,36,32,39,10,10,16,24
"CCL17",23,42,36,25,7,22,23,36,25,25,13,32,55,24,21,7,6,7,13
"FAS",31,60,54,30,18,45,32,64,34,69,43,69,61,38,46,12,11,18,38
"TAF3",28,54,53,24,16,38,29,53,34,35,28,44,43,33,27,9,7,14,25
"BCL2A1",28,53,50,27,15,33,28,44,39,25,18,41,58,32,32,10,10,16,25
"IGFBP3",225,557,253,52,67,76,47,84,60,30,53,43,170,78,95,15,15,23,23
"PLCG2",32,53,63,33,19,37,33,46,36,26,21,49,47,33,32,10,11,17,24
"TRAF7",52,91,114,63,25,52,46,84,57,56,51,69,55,47,39,11,14,21,25
"CSF2",26,53,45,26,17,23,25,39,27,27,13,42,35,27,18,5,6,12,16
"CLEC4C",26,46,46,25,13,32,30,42,36,25,21,38,41,28,29,6,5,11,21
"H2AX",45,61,83,58,20,46,38,62,51,65,58,62,60,40,49,12,9,22,27
"NDUFA13",123,200,246,147,46,135,90,165,133,194,175,195,134,80,112,34,45,69,96
"CXCL13",29,40,38,22,13,55,43,33,29,20,16,34,32,26,24,14,9,37,24
"FANCF",39,62,88,48,26,37,29,55,44,42,37,58,41,40,27,13,8,16,24
"DDIT4",98,184,75,105,48,55,39,88,96,124,62,185,76,59,122,79,41,114,44
"ERCC2",34,56,62,40,16,36,30,46,33,45,35,53,38,29,35,11,11,19,27
"PPP3CC",30,45,57,23,10,32,28,42,30,26,29,41,40,32,25,9,7,15,20
"CDH3",81,147,213,39,13,38,27,100,58,35,29,48,47,32,29,12,15,23,29
"TNFRSF25",41,59,59,31,17,51,34,49,40,29,25,42,48,36,41,9,9,18,29
"SUV39H2",27,49,46,29,15,34,29,48,35,30,22,42,44,26,28,8,7,16,19
"RBP4",24,50,42,19,12,34,26,33,30,31,20,32,31,24,73,7,5,9,19
"CDKN2A",29,40,49,25,12,33,22,38,30,19,15,48,43,26,30,6,6,7,19
"MAVS",57,86,111,80,33,53,42,73,60,65,66,77,68,44,41,16,18,24,38
"FCGR3A/B",87,91,163,56,23,92,88,66,54,77,60,101,125,108,122,90,106,171,87
"GDF15",23,37,29,31,12,28,21,36,23,19,10,27,56,34,21,8,6,9,14
"NEIL1",29,47,57,27,15,32,27,50,37,26,20,44,48,33,29,8,7,11,23
"ADGRE5",32,65,60,27,13,71,48,64,46,83,47,75,109,81,70,33,35,80,54
"RNF43",21,43,44,24,14,29,22,40,31,24,15,30,37,24,23,6,8,9,22
"ACTR3B",37,58,57,35,17,37,30,52,39,37,25,49,40,31,27,10,9,14,23
"FGF22",29,52,48,26,14,32,28,40,36,28,18,39,41,34,24,7,7,10,21
"TYK2",59,87,98,65,28,60,48,63,53,65,53,74,81,51,52,16,20,34,42
"IL6ST",94,159,203,67,32,164,109,159,112,125,57,144,92,66,60,24,25,46,56
"IL27",25,45,55,29,16,24,40,47,36,29,27,45,43,26,35,7,8,7,20
"BBS1",45,76,83,42,21,42,32,68,46,47,35,69,50,35,33,10,11,20,31
"SERINC5",118,187,204,99,39,74,48,80,89,34,34,54,76,45,56,20,14,27,30
"ARID1A",78,108,146,71,28,66,45,79,53,58,40,66,62,45,46,19,18,36,31
"GNA11",42,68,76,56,22,42,29,61,42,47,46,66,58,43,41,14,11,20,29
"ATM",71,95,112,64,34,55,43,75,47,68,49,99,68,38,53,20,23,37,44
"PBK",28,43,46,26,12,37,22,44,32,27,21,33,33,22,26,8,4,10,24
"GBP2",25,49,54,23,15,38,26,45,32,26,18,46,53,37,27,11,6,12,23
"PMCH",33,36,42,24,12,21,20,23,25,29,20,29,23,17,22,5,6,10,18
"MAP3K20",62,94,136,50,23,60,44,92,82,100,80,115,58,37,39,9,11,20,31
"NR4A1",58,72,73,48,21,48,30,64,50,47,32,55,45,32,43,57,27,36,29
"EGFR",48,87,82,135,33,53,45,76,40,121,71,132,57,45,41,10,13,14,29
"SPRY1",30,49,59,28,17,36,26,54,34,91,45,151,46,35,38,11,8,14,33
"CD5",36,60,67,33,18,50,38,56,45,32,23,52,54,38,34,11,9,22,28
"STAT1",66,105,130,56,25,116,87,91,95,84,70,116,77,105,43,56,50,100,54
"GMIP",36,56,62,48,18,41,33,45,39,33,33,43,46,34,34,12,14,22,30
"EGR2",22,47,44,30,10,40,32,41,32,27,20,39,53,29,26,23,20,34,27
"CREB5",28,44,45,68,26,45,32,54,59,31,29,42,42,31,35,12,12,18,34
"CDK6",76,117,137,216,34,69,51,118,68,102,179,70,52,43,49,12,14,22,31
"FAM30A",29,53,55,28,16,33,30,49,37,29,20,41,47,31,29,9,7,14,23
"BIRC7",18,36,35,23,15,27,28,40,38,21,16,35,34,26,21,6,6,13,13
"DDB2",43,62,72,35,17,38,27,57,42,57,42,75,58,45,33,12,11,20,32
"PRDM1",34,52,52,28,15,39,30,50,32,29,19,50,51,36,29,10,11,21,26
"CEBPA",29,49,61,24,14,34,25,43,38,25,21,42,52,31,23,9,11,22,22
"SLC2A1",59,165,81,52,35,50,35,118,120,39,47,65,65,57,58,13,10,19,25
"F12",24,50,50,27,10,32,32,44,33,24,18,39,35,26,27,9,9,9,20
"NAT8L",27,46,52,41,17,36,26,51,36,35,28,40,34,21,21,8,9,10,22
"DUSP1",228,228,163,117,40,48,43,93,91,140,83,131,106,68,67,127,85,125,61
"MTF1",33,52,57,31,19,39,31,42,32,28,24,38,43,29,28,9,7,18,29
"EXO1",25,52,54,35,13,38,29,49,38,28,17,39,40,29,29,9,6,11,23
"KLRK1",25,44,43,27,14,36,33,40,29,26,16,35,41,28,23,11,11,21,23
"CHIT1",24,42,37,24,13,31,21,41,31,22,18,34,33,24,21,7,6,10,17
"PIK3CG",20,43,37,21,14,38,27,37,30,22,12,35,42,29,24,8,10,17,20
"LEFTY1",25,38,40,28,12,31,27,40,34,25,17,33,34,22,23,9,6,10,18
"LCP1",28,46,50,26,14,72,52,41,30,27,23,41,78,43,39,23,22,60,33
"PNMA1",37,68,65,69,26,36,34,50,39,41,44,59,59,36,32,10,6,18,22
"NPM2",34,55,63,32,13,40,32,51,42,27,24,45,45,33,32,10,8,12,24
"PSMC4",42,71,83,47,14,46,34,56,43,45,42,56,59,43,43,12,12,23,30
"CCL22",17,37,32,18,9,23,17,34,22,16,9,30,24,20,20,5,5,8,20
"PPP2R2C",20,35,38,21,10,25,24,36,29,19,14,31,31,25,19,5,7,8,13
"CD3D",33,57,63,40,19,63,44,56,45,34,27,51,60,43,37,20,14,40,35
"PC",26,51,43,25,14,35,26,41,33,27,20,41,53,36,29,9,8,12,18
"WEE1",40,71,66,53,23,43,34,65,58,40,36,50,43,33,32,10,10,16,19
"CLU",558,717,497,132,76,41,31,105,85,63,30,77,72,66,27,24,21,27,112
"TNKS",42,77,91,49,20,51,32,67,53,32,32,47,47,29,32,12,12,16,23
"MAGEA3/A6",44,73,78,39,14,47,35,55,40,36,25,62,54,40,43,9,7,15,36
"IL9",25,48,45,23,12,31,25,38,32,20,16,37,37,22,25,7,9,11,18
"CXCL10",22,39,47,21,12,62,47,43,39,20,13,32,40,79,24,19,8,38,26
"KRT10",51,80,104,53,25,51,49,66,49,44,43,61,58,37,51,12,14,25,29
"INHBA",28,44,45,40,15,34,30,47,28,27,121,41,49,35,33,27,24,30,41
"SAMD9",36,69,80,42,19,48,36,58,55,41,33,56,82,77,35,15,19,31,36
"MCAT",35,60,69,31,15,29,27,41,37,35,28,48,49,32,26,8,7,14,27
"ITGAE",26,49,42,22,12,31,23,44,29,25,19,39,37,29,24,11,8,14,19
"FGF23",32,52,44,26,16,39,26,52,38,18,14,38,43,31,27,6,7,12,24
